FVC,FVC_projection,LV,LV_noun,LVC_projection
play_VERB,0.7777408561586071,have_VERB,game_SUBST,2.1748660736359406
murder_VERB,-2.3873828793244276,commit_VERB,murder_SUBST,1.4551017174305856
crash_VERB,0.8665751474139526,have_VERB,accident_SUBST,0.9582156331916515
test_VERB,2.8381783059313546,conduct_VERB,test_SUBST,6.724964147699586
damage_VERB,2.0237845772330183,do_VERB,damage_SUBST,1.3858134292004507
work_VERB,-0.11290390021285249,do_VERB,work_SUBST,1.0915957981069857
try_VERB,1.3637572375480542,make_VERB,effort_SUBST,3.594975880522503
risk_VERB,0.5307949553293226,take_VERB,chance_SUBST,4.419248443914907
photograph_VERB,0.06416705366522203,take_VERB,picture_SUBST,4.441306064764148
call_VERB,1.6194090767261673,give_VERB,call_SUBST,8.768958383009252
cuddle_VERB,0.9336642992969775,give_VERB,cuddle_SUBST,4.844436880580688
hug_VERB,0.4916525240392848,give_VERB,hug_SUBST,4.424002992575874
kick_VERB,3.408544069671328,give_VERB,kick_SUBST,8.214325667599997
kiss_VERB,0.09022401245474797,give_VERB,kiss_SUBST,6.010381855851342
lecture_VERB,-0.5053347705460576,give_VERB,lecture_SUBST,7.018062355282836
look_VERB,0.8745992825596496,give_VERB,look_SUBST,6.848358826410899
massage_VERB,2.1443036605554155,give_VERB,massage_SUBST,5.211011872236119
miss_VERB,1.9916378881708028,give_VERB,miss_SUBST,8.274927986909193
offend_VERB,0.1947239928705218,commit_VERB,offence_SUBST,-0.4852912676474669
pull_VERB,2.5402559486994467,give_VERB,pull_SUBST,5.341191471491304
punch_VERB,1.1682963608593673,give_VERB,punch_SUBST,4.555495447986372
push_VERB,3.290287143731189,give_VERB,push_SUBST,5.041948384408135
ring_VERB,2.428343779300784,give_VERB,ring_SUBST,4.711415551599855
investigate_VERB,2.1940266626566096,do_VERB,investigation_SUBST,2.5677660713327604
shake_VERB,1.5675235238177152,give_VERB,shake_SUBST,4.7060220847553005
shout_VERB,3.3010903805160705,give_VERB,shout_SUBST,5.46735464898406
smile_VERB,1.5765093556715706,give_VERB,smile_SUBST,5.688644870403106
bless_VERB,0.8802306804120941,give_VERB,blessing_SUBST,6.180452066111581
talk_VERB,1.3868856997793189,give_VERB,talk_SUBST,6.47904926399156
taste_VERB,0.5400040821459325,give_VERB,taste_SUBST,4.727714391657548
try_VERB,1.3637572375480542,give_VERB,try_SUBST,6.543420861224249
present_VERB,2.7810182271981776,give_VERB,presentation_SUBST,6.199425839786659
address_VERB,3.590987522532322,give_VERB,address_SUBST,7.361590231988261
answer_VERB,3.073197528439455,give_VERB,answer_SUBST,9.166180640164747
speak_VERB,2.0681776880895604,give_VERB,speech_SUBST,6.406332308794337
summarise_VERB,1.068570328127738,give_VERB,summary_SUBST,9.341769577344765
treat_VERB,0.6052351725498365,give_VERB,treatment_SUBST,6.2173690592479165
